C1,C2,C3,ISO,Target
3285,0,479,AU,false
1571,0,588,AU,false
2595,0,861,AU,false
2499,0,75,AU,false
2166,0,675,AU,false
1428,0,151,AU,false
1031,0,804,AU,false
2113,0,916,AU,false
3299,0,168,AU,false
1496,0,954,AU,false
4641,0,612,AU,false
2536,194,50,CA,false
3470,373,453,GB,false
1371,0,156,AU,false
1888,0,889,AU,false
1899,0,490,AU,false
2198,0,323,AU,false
2384,0,727,AU,false
2430,0,910,AU,false
4773,0,753,AU,false
14952,399,130,US,false
2599,0,686,NZ,true
2185,0,881,NZ,false
3903,0,560,AU,false
13242,2495,722,AU,false
2999,0,688,NZ,true
11359,0,576,AU,false
2273,0,756,AU,false
11235,0,189,AU,false
5709,0,787,AU,false
3449,0,257,AU,false
2395,0,812,NZ,true
2799,0,118,NZ,false
3100,0,932,NZ,false
3451,0,662,AU,false
1582,0,198,AU,false
1150,0,801,AU,false
8636,0,436,AU,false
907,0,75,AU,false
2160,0,514,AU,false
3000,0,84,AU,false
1955,0,984,AU,false
2428,0,943,US,false
1290,0,60,US,false
910,0,659,US,false
1395,0,991,US,false
969,0,907,US,false
910,0,322,US,false
1739,0,963,US,false
3189,0,408,US,false
5567,0,86,US,false
731,0,959,US,false
1625,0,451,US,false
2861,0,946,US,false
2046,0,918,US,false
1716,0,935,US,false
2402,0,505,US,false
871,0,185,US,false
1386,0,972,US,true
1284,0,805,US,false
1440,0,558,US,false
792,0,359,US,false
777,0,808,US,false
802,0,120,US,false
5546,0,12,GB,false
2451,0,154,US,false
627,0,827,US,false
11622,0,331,CL,false
6705,0,845,US,false
2549,0,78,US,false
775,0,886,US,true
2326,0,133,US,false
8253,0,563,US,false
4155,0,507,US,false
1949,0,562,US,false
1392,0,114,AU,false
2609,0,121,AU,false
1030,0,282,AU,false
1946,0,279,AU,false
2878,0,768,AU,false
1032,0,90,AU,false
2811,0,798,AU,true
2947,0,355,AU,true
2918,0,564,AU,false
2463,0,536,AU,false
3201,0,105,AU,false
4135,0,173,AU,false
2481,0,350,NZ,false
2890,0,93,AU,false
924,0,622,AU,false
2275,0,992,AU,false
2397,0,254,AU,false
2072,0,894,AU,false
